Wavelength (nm),basic,Acid,10-10,12-8,14-6,16-4,18-2
745.00,-0.007008,-0.007719,0.001387,-0.006294,0.000030,-0.007816,-0.001166
744.50,-0.004795,-0.009134,0.001263,-0.007697,0.000327,-0.007826,-0.001071
744.00,-0.007583,-0.007395,-0.001770,-0.008782,-0.000218,-0.007821,-0.001616
743.50,-0.003399,-0.008252,0.000555,-0.006808,0.000736,-0.006968,-0.001678
743.00,-0.006427,-0.008299,-0.000526,-0.008903,0.001868,-0.006101,0.001918
742.50,-0.005231,-0.006026,0.000030,-0.004719,0.001275,-0.005598,0.000539
742.00,-0.006648,-0.007310,-0.000031,-0.006193,-0.001535,-0.007928,-0.000617
741.50,-0.005272,-0.007779,-0.002581,-0.005530,-0.000518,-0.005451,0.000642
741.00,-0.006109,-0.006536,0.000024,-0.005853,-0.000956,-0.007293,-0.000172
740.50,-0.005870,-0.009160,-0.001261,-0.008689,-0.001742,-0.007535,-0.002220
740.00,-0.002948,-0.007495,-0.000265,-0.007193,0.000112,-0.008498,-0.002137
739.50,-0.007297,-0.007052,0.000079,-0.006211,-0.000127,-0.006620,-0.000739
739.00,-0.006020,-0.005933,0.001332,-0.006698,0.002228,-0.008062,-0.000447
738.50,-0.006383,-0.007621,0.001553,-0.005376,-0.000630,-0.005279,-0.000465
738.00,-0.007087,-0.006119,-0.000352,-0.006805,-0.000041,-0.008047,-0.002135
737.50,-0.006410,-0.008572,-0.001447,-0.007717,-0.000363,-0.008607,-0.001302
737.00,-0.004805,-0.008482,0.000187,-0.004926,-0.000092,-0.007523,0.000692
736.50,-0.002881,-0.006668,0.000688,-0.005304,0.000108,-0.005423,-0.000368
736.00,-0.002357,-0.006240,-0.000024,-0.006697,0.000458,-0.004144,0.001853
735.50,-0.006705,-0.008205,-0.002400,-0.007360,-0.001313,-0.008829,-0.001555
735.00,-0.004525,-0.005662,0.000597,-0.005835,0.001080,-0.006490,-0.000057
734.50,-0.004847,-0.009638,-0.001932,-0.008281,-0.001379,-0.007741,-0.002573
734.00,-0.004245,-0.007149,0.000161,-0.007375,-0.001829,-0.007337,-0.000373
733.50,-0.006065,-0.007103,-0.001703,-0.007254,-0.000666,-0.006876,0.000408
733.00,-0.003294,-0.003725,0.001469,-0.003143,0.002142,-0.004769,0.001598
732.50,-0.004752,-0.007142,-0.000318,-0.007069,-0.000111,-0.006285,-0.000924
732.00,-0.007158,-0.009508,-0.001507,-0.009219,-0.001735,-0.007901,-0.001211
731.50,-0.005574,-0.007782,0.000907,-0.007424,-0.000309,-0.006170,-0.000354
731.00,-0.005908,-0.007106,0.000791,-0.007391,0.000101,-0.006761,0.001338
730.50,-0.006501,-0.007909,-0.003965,-0.008320,-0.001743,-0.008002,-0.001097
730.00,-0.004284,-0.006272,0.000184,-0.006520,-0.000326,-0.004084,-0.001646
